河BD邯山普清,rtp://239.254.201.116:5225$河\北电信
河BD顺平普清,rtp://239.254.201.118:6257$河\北电信
河BD张北普清,rtp://239.254.201.130:5271$河\北电信
河BD赤城普清,rtp://239.254.201.131:5269$河\北电信
河BD昌黎普清,rtp://239.254.201.61:5230$河\北电信
河BD抚宁普清,rtp://239.254.201.213:5232$河\北电信
河BD卢龙普清,rtp://239.254.201.216:5233$河\北电信
河BD丰南普清,rtp://239.254.200.218:5186$河\北电信
河BD迁西普清,rtp://239.254.201.26:5188$河\北电信
河BD香河普清,rtp://239.254.201.32:5306$河\北电信
